use	name	type	size	buckets	weight_fc	mean	stddev	normalize
TRUE	feedClickByCatLast7d	Num	36	1.0	""	-1.4607933215306487E-9,3.8586518675622E-10,-6.077400279224473E-10,-2.1087505723371546E-9,-1.4245860270279917E-10,4.065521910542432E-10,1.98121912459924E-9,2.4254562884211985E-10,1.5085193318739989E-10,1.5952517239823178E-9,9.220397869776502E-10,0.0,-5.410022394884512E-10,-1.9516242806235614E-9,-2.0455352307950566E-10,-1.6385962978736363E-10,2.8408219678970645E-9,-3.684652426228042E-10,-1.6411064344143473E-9,2.2016944221343116E-9,-1.0251892976357082E-9,1.4432990261411997E-9,5.911794168374915E-11,0.0,-6.172144665490926E-12,-8.622908712691805E-10,2.2141487879306652E-10,3.124795660742333E-9,-3.152715769923426E-9,1.6145858688644097E-11,-5.269124519208591E-10,8.727530496074211E-10,-1.4147970842145697E-9,3.8741411987609476E-10,2.604747262697873E-9,3.184197639019765E-10	0.9999999702825683,0.9999999992934324,1.0000000065580448,0.9999999778148987,0.9999999870976473,0.9999999739529918,1.0000000305944337,1.0000000314925632,0.9999999602451555,1.0000000310945685,1.0000000013265335,1.0,0.9999999819297318,0.9999999744183345,1.0000000377053049,1.0000000096260284,1.0000000095694612,0.9999999866778692,0.9999999585021372,0.9999999726336308,1.0000000041340114,1.0000000218670395,1.000000033588962,1.0,1.00000003552176,1.0000000057867644,1.0000000321348061,1.0000000301345786,1.0000000048618554,0.9999999846905542,1.0000000325747742,0.9999999977158425,0.9999999555091009,1.0000000000668516,1.0000000187206644,0.9999999709018438	TRUE
TRUE	userEmbedding	Num	256	1.0	""	""	""	FALSE
TRUE	source	Cat	1	140.0	""	""	""	FALSE
TRUE	hour	Cat	1	1.0	""	""	""	FALSE
TRUE	pushCtrLast7d	Num	1	1.0	""	-1.2887744878432072E-8	0.9999999753349282	TRUE
TRUE	feedExposeByCatLast7d	Num	36	1.0	""	-4.922847546962876E-9,4.760944722912614E-10,-6.597432952059594E-10,4.4220074921257985E-10,1.7316944512874308E-10,5.102633865333724E-11,4.729361622781157E-10,-1.031322129277852E-9,7.713336805362284E-10,-1.6698049414577127E-9,2.1567910868672814E-9,0.0,2.2416521790642794E-9,3.617804561328674E-9,-4.005175436879086E-9,-1.7913372218328634E-10,-9.026348786535335E-10,4.6034469231283907E-10,3.886237816044843E-9,2.1195223407342535E-10,2.8888546198225217E-9,2.1292405201056506E-9,-6.134640041217815E-10,-2.3024900655194635E-11,2.0355300663532258E-9,-7.230451253994211E-10,-8.696827024840145E-10,5.214935447826982E-9,8.61474143209145E-10,-3.2368770903048464E-9,-9.41712023860527E-10,1.290685869507851E-10,5.9584862462042375E-9,-1.100271275275121E-9,2.241876263297358E-9,1.7984076690818349E-9	0.9999999636526539,0.9999999914516319,0.9999999802032692,1.0000000049750368,1.0000000264909719,0.9999999826741736,0.9999999840383215,1.000000020923435,1.0000000265429132,0.9999999655215365,0.999999962792656,1.0,0.9999999502552926,1.0000000229481716,0.999999987735293,1.0000000221075096,1.0000000126597854,1.000000025900485,0.999999964430496,0.9999999812578095,0.9999999529781549,1.000000027458352,1.0000000017665425,0.9999999972552223,0.9999999894884215,0.9999999594627872,1.0000000411138028,1.0000000288020232,1.0000000005995664,0.9999999531843063,1.0000000167704215,0.9999999751947048,0.9999999738151447,0.9999999820945658,1.0000000294264648,1.000000024348845	TRUE
TRUE	pushCtrLast15d	Num	1	1.0	""	3.95247849094127E-9	0.9999999684160474	TRUE
TRUE	pushClickNumLast15d	Num	1	1.0	""	4.93513088631073E-9	0.9999999603943698	TRUE
TRUE	pushAvgCtrInLast7Days	Num	1	1.0	""	-2.3616277685500873E-8	1.000000035911956	TRUE
TRUE	residentCityType	Cat	1	10.0	""	""	""	FALSE
TRUE	pushCtrLast30d	Num	1	1.0	""	-1.1996888339036624E-10	1.0000000028319447	TRUE
TRUE	pushClickedNumByHourLast30d	Num	24	1.0	""	4.761654394671507E-11,2.9144461041496777E-9,-1.927025032289681E-9,3.0314817891804942E-9,-9.085707006949308E-10,-1.0361680870778953E-9,-3.2559395950851655E-10,7.917674916110109E-9,6.715436952613803E-9,7.164781049501739E-9,5.370322007165951E-9,1.442955410628044E-9,2.4577539439990467E-9,-4.7348512854998924E-9,-1.2770678682856302E-10,3.5963573149722687E-9,9.878860237537899E-11,1.263939814813819E-10,3.348018303463841E-9,-1.645588739306209E-8,-7.340769899654408E-9,7.616750757084038E-9,2.903433125959436E-9,3.9726948478308553E-10	1.0000000231186696,0.999999990303004,0.9999999611069369,1.0000000085506497,0.9999999966779899,1.0000000056192446,0.9999999524916001,0.999999973123776,1.0000000225768322,0.9999999972075782,1.000000023612373,0.999999960885173,0.9999999893846184,0.9999999861468883,0.9999999715678779,0.9999999651742179,0.9999999643027156,1.000000041466198,0.9999999918650934,1.000000019748341,1.0000000296177978,1.000000041933779,1.0000000493249073,1.0000000306344532	TRUE
TRUE	age	Cat	1	12.0	""	""	""	FALSE
TRUE	lastClickedArticleCategory	Cat	1	51.0	""	""	""	FALSE
TRUE	category	Cat	1	36.0	""	""	""	FALSE
TRUE	pushClickedDayNumLast30d	Num	1	1.0	""	2.1534380511447174E-8	1.0000000027920815	TRUE
TRUE	clickBaitScore	Num	1	1.0	""	4.249981765529886E-9	0.9999999840002654	TRUE
TRUE	pushSubCategoryCtr7day	Num	1	1.0	""	4.041008619862265E-8	1.0000000215235938	TRUE
